question_id,question_type,question,ideal_answer,ground_truth_context
1,definition,What are the basic 'consumer rights' listed in the act?,"The consumer rights include the right to be protected from hazardous goods, the right to be informed about product quality and price, the right to access a variety of goods at competitive prices, the right to be heard, the right to seek redressal against unfair practices, and the right to consumer awareness","""consumer rights"" includes,—(i) the right to be protected against the marketing of goods, products or services which are hazardous to life and property; (ii) the right to be informed about the quality, quantity, potency, purity, standard and price of goods, products or services... (iii) the right to be assured, wherever possible, access to a variety of goods, products or services at competitive prices; (iv) the right to be heard and to be assured that consumer's interests will receive due consideration at appropriate fora; (v) the right to seek redressal against unfair trade practice or restrictive trade practices or unscrupulous exploitation of consumers; and (vi) the right to consumer awareness;"
2,definition," What does the term ""defect"" mean in relation to goods?","A ""defect"" is defined as any fault, imperfection, or shortcoming in the quality, quantity, purity, or standard of goods or a product that is required to be maintained by law or contract, or as claimed by the trader","""defect"" means any fault, imperfection or shortcoming in the quality, quantity, potency, purity or standard which is required to be maintained by or under any law for the time being in force or under any contract, express or implied or as is claimed by the trader in any manner whatsoever in relation to any goods or product and the expression ""defective"" shall be construed accordingly; "
3,definition,"What is the definition of ""e-commerce"" according to the act?","E-commerce"" is defined as the buying or selling of goods or services, including digital products, over a digital or electronic network","From Section 2(16): ""e-commerce"" means buying or selling of goods or services including digital products over digital or electronic network;"
4,definition,"What constitutes ""harm"" in a product liability case","In the context of product liability, ""harm"" includes damage to property (other than the product itself), personal injury, illness, death, and mental agony or emotional distress associated with these events. It does not include harm to the product itself or commercial or economic loss","""harm"", in relation to a product liability, includes—(i) damage to any property, other than the product itself; (ii) personal injury, illness or death; (iii) mental agony or emotional distress attendant to personal injury or illness or damage to property; or (iv) any loss of consortium or services or other loss resulting from a harm... but shall not include any harm caused to a product itself or any damage to the property on account of breach of warranty conditions or any commercial or economic loss"
5,definition,"What is a ""misleading advertisement""?","A misleading advertisement is one that falsely describes a product or service, gives a false guarantee, is likely to mislead consumers about its nature or quality, conveys a false representation, or deliberately conceals important information","""misleading advertisement"" in relation to any product or service, means an advertisement, which—(i) falsely describes such product or service; or (ii) gives a false guarantee to, or is likely to mislead the consumers as to the nature, substance, quantity or quality of such product or service; or (iii) conveys an express or implied representation which, if made by the manufacturer or seller or service provider thereof, would constitute an unfair trade practice; or (iv) deliberately conceals important information; "
6,definition,What is the limitation period for filing a complaint with any of the consumer commissions?,A complaint must be filed within two years from the date on which the cause of action has arisen,"The District Commission, the State Commission or the National Commission shall not admit a complaint unless it is filed within two years from the date on which the cause of action has arisen."
7,definition,Can a complaint be filed after the two-year limitation period has expired?,"Yes, a complaint may be entertained after the two-year period if the complainant satisfies the Commission that there was sufficient cause for not filing it within the period. The Commission must record its reasons for condoning the delay","Notwithstanding anything contained in sub-section (1), a complaint may be entertained after the period specified in sub-section (1), if the complainant satisfies the District Commission, the State Commission or the National Commission, as the case may be, that he had sufficient cause for not filing the complaint within such period: Provided that no such complaint shall be entertained unless the...Commission...records its reasons for condoning such delay."
8,definition,What is the penalty for failing to comply with an order made by any of the consumer commissions?,"Failure to comply is punishable with imprisonment for a term between one month and three years, or with a fine between twenty-five thousand rupees and one lakh rupees, or with both","Whoever fails to comply with any order made by the District Commission or the State Commission or the National Commission, as the case may be, shall be punishable with imprisonment for a term which shall not be less than one month, but which may extend to three years, or with fine, which shall not be less than twenty-five thousand rupees, but which may extend to one lakh rupees, or with both."
9,definition,How long is a mediator's empanelment valid?,"A panel of mediators is valid for a period of five years, and empanelled mediators are eligible for re-empanelment for another term","The panel of mediators prepared under sub-section (1) shall be valid for a period of five years, and the empanelled mediators shall be eligible to be considered for re-empanelment for another term, subject to such conditions as may be specified by regulations."
10,definition,What must a mediator disclose before starting a mediation?,"A mediator must disclose any personal, professional, or financial interest in the outcome of the dispute, and any circumstances that might raise justifiable doubts about their independence or impartiality"," It shall be the duty of the mediator to disclose—(a) any personal, professional or financial interest in the outcome of the consumer dispute; (b) the circumstances which may give rise to a justifiable doubt as to his independence or impartiality;"
